instance_name,group,pca_1,pca_2,tsne_1,tsne_2,umap_1,umap_2
YT_Gold_002_ch1422_d14_IN_hi_20260617,Instances_Youtube,-0.7894097618812295,0.6712325064221645,-40.882225,15.510729,-1.4419835,-2.805055
YT_Gold_003_ch892_d11_BG_bg_20261018,Instances_Youtube,-0.7728894672449034,0.4498353030047275,-34.232964,16.154556,-2.4539921,-3.2742
YT_Gold_004_ch721_d8_IT_it_20260407,Instances_Youtube,-0.6753864636067624,0.48460291904860453,-35.37361,14.513694,-2.4253814,-2.8890026
YT_Gold_005_ch709_d13_NL_nl_20260310,Instances_Youtube,-1.0098678034110504,0.31256653712362614,-36.574924,5.4768643,-3.465234,-2.3560488
YT_Gold_006_ch672_d10_ES_es_20260222,Instances_Youtube,-0.8344741787121329,0.33675318045620073,-33.730793,12.980267,-2.6373446,-2.7935166
YT_Gold_007_ch1436_d8_US_en_20260730,Instances_Youtube,-0.5413187026168553,0.36493955502280984,-34.95767,16.777786,-2.3123238,-3.1059692
YT_Gold_008_ch1103_d11_ID_id_20260803,Instances_Youtube,-0.7348073616165232,0.3751522343912339,-38.869957,12.867872,-1.9885789,-2.4120111
YT_Gold_009_ch887_d11_BG_bg_20260427,Instances_Youtube,-0.8205499652492315,0.29952011720618743,-33.4847,13.868626,-2.8483825,-3.0364048
YT_Gold_010_ch1427_d9_SE_sv_20260205,Instances_Youtube,-0.6458462551643837,0.3993788871742978,-35.32672,15.671186,-2.2960236,-3.19777
YT_Gold_011_ch1258_d8_DK_da_20261205,Instances_Youtube,-0.6677038198340941,0.3310288061493598,-32.923035,13.976276,-2.67824,-2.9300623
YT_Gold_012_ch1200_d12_GB_en_20260319,Instances_Youtube,-0.8655051824686478,0.6024906241478305,-40.150475,14.679225,-1.8243519,-2.8023179
YT_Gold_013_ch1221_d13_SE_sv_20260716,Instances_Youtube,-0.7862193199866098,0.506942407860111,-38.95478,14.731247,-1.6863414,-2.915304
YT_Gold_014_ch1110_d11_BG_bg_20260521,Instances_Youtube,-0.6654757940054494,0.5610116439172423,-34.16827,15.126439,-2.5226078,-3.2754533
YT_Gold_015_ch1333_d13_SE_sv_20260525,Instances_Youtube,-0.9597867719882281,0.27587817053945685,-36.61879,6.695535,-3.3755348,-2.2182896
YT_Gold_016_ch689_d11_RO_ro_20260810,Instances_Youtube,-0.7237705919914263,0.6168161785007173,-41.567303,14.43154,-1.3624642,-2.583515
YT_Gold_017_ch1261_d13_SA_ar_20260828,Instances_Youtube,-0.7884524908082979,0.3750918196352502,-38.88522,13.855086,-1.8081843,-2.7347403
YT_Gold_018_ch1123_d10_AE_ar_20261224,Instances_Youtube,-0.9610805485065808,0.1586896153519879,-40.23383,7.6562047,-2.1881635,-1.7846417
YT_Gold_019_ch541_d9_BG_bg_20260428,Instances_Youtube,-0.6607786418328832,0.46825835925621995,-41.693565,13.698474,-1.37102,-2.3697214
YT_Gold_020_ch1137_d5_RS_sr_20260701,Instances_Youtube,-0.67478882511185,0.22737321072965888,-40.077988,10.0376625,-2.2330835,-1.6667464
YT_Gold_021_ch1941_d13_UA_uk_20260309,Instances_Youtube,-0.9961421525646862,0.2518921197218418,-35.213585,6.47868,-3.3848255,-2.235761
YT_Gold_022_ch1935_d13_FI_fi_20260401,Instances_Youtube,-0.9909953166504121,0.2943056990963975,-36.375523,7.433673,-3.28741,-2.184126
YT_Gold_023_ch845_d13_NO_no_20260304,Instances_Youtube,-0.6662019677283905,0.576906687030446,-36.557632,16.826944,-1.9639134,-3.2483976
YT_Gold_024_ch1113_d2_DE_de_20261027,Instances_Youtube,-0.4364145823611236,-0.10482826187028749,-30.907879,7.950695,-2.9022808,-1.671033
YT_Gold_025_ch1383_d12_TR_tr_20260127,Instances_Youtube,-0.6883319312220689,0.4914970714911915,-36.179394,16.138237,-2.0237675,-3.2579458
YT_Gold_026_ch1269_d8_IL_he_20260218,Instances_Youtube,-0.821341472575434,0.28692792488109253,-34.409565,10.384194,-2.6923091,-1.9737382
YT_Gold_027_ch851_d13_BR_pt_20260315,Instances_Youtube,-0.8009386124279725,0.5830852069909465,-39.584606,15.141119,-1.6337336,-3.0164857
YT_Gold_028_ch855_d4_DK_da_20260820,Instances_Youtube,-0.5358912959685029,0.21345207376399888,-32.58804,11.056742,-2.6343682,-1.7318257
YT_Gold_029_ch1446_d13_RS_sr_20260213,Instances_Youtube,-0.8018578852918539,0.47046184409132463,-39.80499,12.798494,-1.8111966,-2.5138447
YT_Gold_029_ch1668_d6_CA_en_20260523,Instances_Youtube,-0.6834603225885323,0.39388737522635187,-41.4233,11.007182,-1.6567111,-1.974767
YT_Gold_030_ch1706_d4_PT_pt_20260704,Instances_Youtube,-0.43412733553843225,0.46564446765889156,-43.546352,14.260464,-1.4257498,-2.3019857
YT_Gold_031_ch856_d8_ES_es_20261211,Instances_Youtube,-0.8441810352044377,0.09562923705037352,-33.065834,7.0337744,-3.095965,-1.8874375
YT_Gold_032_ch711_d5_BR_pt_20261222,Instances_Youtube,-0.7427618230665828,0.11231337661415974,-39.698994,9.311043,-2.2487826,-1.6631285
YT_Gold_032_ch934_d7_HK_zh_20260504,Instances_Youtube,-0.5459288993375954,0.5536400499770013,-42.524937,13.224547,-1.415748,-2.4017498
